CÓDIGO,DESCRIPCIÓN,PLAN,VALOR UF
ANF0006,ANFORA YENDO A CASA,PREMIUM,9
ANF0007,ANFORA YENDO A CASA PARVULO,PREMIUM,7
ANF0008,ANFORA YENDO A CASA MINI,TODOS LOS SERV.,3
ANF0010,ANFORA LINEAS BRONCE,FULL,6
ANF0011,ANFORA PLATA CLASICA PARVULO,PREMIUM,6
ANF0012,ANFORA ARBOL DE LA VIDA PARVULO,TODOS LOS SERV.,2
ANF0013,ANFORA SAL,PREMIUM,9
ANF0014,ANFORA ARENA,PREMIUM,9
ANF0015,ANFORA ARBOL DE LA VIDA MINI,TODOS LOS SERV.,2
ANF0016,ANFORA ONIX COLUMBARIO,FULL,6
ANF0017,ANFORA ONIX GRIS PARVULO,FULL,3
ANF0030,ANFORA PLATA CLASICA MINI,TODOS LOS SERV.,3
ANF0032,ANFORA ONIX MINI,TODOS LOS SERV.,3
ANF0039,ANFORA ONIX,FULL,6
ANF0040,ANFORA PLATA ATENEA MINI,TODOS LOS SERV.,3
ANF0044,ANFORA SAL PARVULO (DESCONTINUADO),PREMIUM,7
ANF0057,ANFORA MADRE PERLA,PREMIUM,9
ANF0058,ANFORA MADRE PERLA MINI,TODOS LOS SERV.,3
ANF0060,ANFORA ARABICA GRECO (DESCONTINUADO),X,X
ANF0067,ANFORA A270 NIRVANA™ ADIEU STANDARD MIDNIGHT & POL SILVER | VOL. 3.3 LT,PREMIUM,9
ANF0071,ANFORA YENDO A CASA COLUMBARIO,PREMIUM,9
ANF0072,ANFORA SILVER PEARLY,FULL,6
ANF0073,ANFORA ATENEA PLATA,FULL,6
ANF0078,ANFORA ATENEA DORADA,FULL,6
ANF0086,MINERAL JASPE ROJO MJ9154R,TODOS LOS SERV.,2
ANF0087,MINERAL HEMATITE GRIS MH9152G,TODOS LOS SERV.,2
ANF0088,MINERAL CUARZO VERDE MC9151V,TODOS LOS SERV.,2
ANF0089,MINERAL CUARZO ROSA MC9151R,TODOS LOS SERV.,2
ANF0090,MINERAL CUARZO BLANCO MC9151B,TODOS LOS SERV.,2
ANF0091,MINERAL AMATISTA VIOLETA MA9150V,TODOS LOS SERV.,2
ANF0092,ANFORA NO ME OLVIDES (DESCONTINUADO),X,X
ANF0095,ANFORA CRISTAL OTOÑO PLATA,PREMIUM,9
ANF0096,ANFORA NATURAL AZUL (DESCONTINUADO),X,X
ANF0097,ANFORA CRISTAL PLUMAS,PREMIUM,9
ANF0098,ANFORA HOJAS DE ROBLE PLATA,PREMIUM,9
ANF0099,ANFORA PLATINO GRABADO (DESCONTINUADO),FULL,6
ANF0102,ANFORA DORADA HOJAS DE ROBLE,FULL,6
ANF0104,ANFORA DE ACERO INOXIDABLE MINI,TODOS LOS SERV.,3
ANF0108,ANFORA YENDO A CASA TAPA REDONDA (DESCONTINUADO),FULL,6
ANF0110,ANFORA YENDO A CASA CONO PARVULO,FULL,5
ANF0111,ANFORA MADRE PERLA CIRCULAR PARVULO (DESCONTINUADO),PREMIUM,6
ANF0112,ANFORA ARABICA,FULL,6
ANF0115,ANFORA LINEA PLATA CAFÉ (DESCONTINUADO),FULL,6
ANF0120,ANFORA GOLDEN CARVED,PREMIUM,9
ANF0121,ANFORA SILVER CARVED,PREMIUM,9
ANF0122,ANFORA YENDO AL JARDIN TUBO (DESCONTINUADO),PREMIUM,9
ANF0123,ANFORA MADRE PERLA TUBO (DESCONTINUADO),PREMIUM,9
ANF0124,ANFORA YENDO AL JARDIN (DESCONTINUADO),X,X
ANF0126,ANFORA DE MADERA PAULONIA,X,X
ANF0128,ANFORA WOOD MINI (DESCONTINUADO),TODOS LOS SERV.,0
ANF0130,ANFORA DORADA CLASICA,FULL,6
ANF0132,ANFORA PLATA CLASICA,FULL,6
ANF0133,ANFORA ARABICA GRECO MINI,TODOS LOS SERV.,3
ANF0134,ANFORA COBRE PARVULO,FULL,4
ANF0135,ANFORA COBRE MINI,TODOS LOS SERV.,2
ANF0136,ANFORA ONIX CELTA,PREMIUM,9
ANF0137,ANFORA PERLA CELTA,PREMIUM,9
ANF0138,ANFORA ALABASTRO BLANCA (DESCONTINUADO),PREMIUM,9
