Filtro almacén,Filtro zona,Nº producto,Descripción producto,Cód. unidad medida,Cantidad,Cantidad (base),Cant. a traer disponible,Cód. ubicación,ItemDescription,Cant. en ubicación ajuste
BOD-CINER1,,AAS0076,DESENGRASANTE ALTO PODER WK-093 5LT,UNIDAD,0.00,0.,0.00,UBIA01,DESENGRASANTE ALTO PODER WK-093 5LT,0.00
BOD-CINER1,,ABA0001,AZUCAR IANSA 1KG,UNIDAD,0.00,0.,0.00,UBIA01,AZUCAR IANSA 1KG,0.00
BOD-CINER1,,ABA0004,TE HIERBAS 20 UNI,UNIDAD,0.00,0.,0.00,UBIA01,TE HIERBAS 20 UNI,0.00
BOD-CINER1,,ABA0005,CAFE ECCO,UNIDAD,0.00,0.,0.00,UBIA01,CAFE ECCO,0.00
BOD-CINER1,,ABA0011,ENDULZANTE LIQUIDO ALULOSA O STEVIA,UNIDAD,0.00,0.,0.00,UBIA01,ENDULZANTE LIQUIDO ALULOSA O STEVIA,0.00
BOD-CINER1,,ABA0012,TE LIPTON 20 UNI,UNIDAD,0.00,0.,0.00,UBIA01,TE LIPTON 20 UNI,0.00
BOD-CINER1,,ABA0014,VASO POLIPAPEL 180 ML X 1000,UNIDAD,0.00,0.,0.00,UBIA01,VASO POLIPAPEL 180 ML X 1000,0.00
BOD-CINER1,,ABA0015,PAÑUELO FACIAL D/H 90 HJS. CAJA ELITE. ELITE,UNIDAD,0.00,0.,0.00,UBIA01,PAÑUELO FACIAL D/H 90 HJS. CAJA ELITE. ELITE,0.00
BOD-CINER1,,ABA0017,CAFE DESCAFEINADO NESCAFE 170 GR,UNIDAD,0.00,0.,0.00,UBIA01,CAFE DESCAFEINADO NESCAFE 170 GR,0.00
BOD-CINER1,,ABA0018,CAFE LIOFILIZADO 170 GRS,UNIDAD,0.00,0.,0.00,UBIA01,CAFE LIOFILIZADO 170 GRS,0.00
BOD-CINER1,,AEL0022,ALARGADOR 5MT,UNIDAD,0.00,0.,0.00,UBIA01,ALARGADOR 5MT,0.00
BOD-CINER1,,AEL0038,"AMARRA PLASTICA 200 X 3,6 MM",UNIDAD,0.00,0.,0.00,UBIA01,"AMARRA PLASTICA 200 X 3,6 MM",0.00
BOD-CINER1,,AEL0039,"AMARRA PLASTICA 300 X 3,6 MM BLANCA",UNIDAD,0.00,0.,0.00,UBIA01,"AMARRA PLASTICA 300 X 3,6 MM BLANCA",0.00
BOD-CINER1,,AEL0041,AMARRA PLASTICA 100 X 2.5 MM,UNIDAD,0.00,0.,0.00,UBIA01,AMARRA PLASTICA 100 X 2.5 MM,0.00
BOD-CINER1,,AES0001,ACCO-CLIP (X CAJA),UNIDAD,0.00,0.,0.00,UBIA01,ACCO-CLIP (X CAJA),0.00
BOD-CINER1,,AES0002,CORCHETES 26/6 (5000 Unid),UNIDAD,0.00,0.,0.00,UBIA01,CORCHETES 26/6 (5000 Unid),0.00
BOD-CINER1,,AES0004,SACA CORCHETES,UNIDAD,0.00,0.,0.00,UBIA01,SACA CORCHETES,0.00
BOD-CINER1,,AES0005,CUADERNO UNIVERSITARIO TAPA DURA,UNIDAD,0.00,0.,0.00,UBIA01,CUADERNO UNIVERSITARIO TAPA DURA,0.00
